9.806 8.06185
7.31649 6.15166
1.49224 2.42265 0
6.01128 5.50362 0
8.60878 6.32809 0
0.395756 9.36336 0
8.81731 6.96363 0
5.48375 4.72521 1
2.26431 2.69628 0
0.868386 1.62416 0
2.33048 1.73893 0
1.0362 2.15365 0
8.58017 7.73724 0
2.30632 2.5169 0
9.8152 4.92017 0
2.40656 2.20462 0
5.54585 4.35586 0
6.52764 5.62973 1
1.55752 1.43216 0
1.42556 8.6172 0
4.88848 4.38747 1
5.88125 4.89354 0
5.05555 3.69181 0
9.77233 7.30197 0
5.73755 5.70992 0
8.57365 6.82245 0
8.86177 7.17544 0
4.18317 4.34148 0
3.57443 8.38714 0
2.64724 7.49783 0
5.2268 5.04064 0
0.343596 0.946408 0
3.69489 2.67305 0
0.0714714 1.57327 0
7.40481 6.03605 0
9.67765 9.27942 0
8.18821 6.65264 0
1.31828 1.50165 1
3.82114 4.20252 0
4.56661 3.73754 0
6.59547 5.50224 1
7.96554 6.68641 1
1.09588 2.29539 0
7.1683 6.39609 0
9.70318 8.17696 0
3.94847 8.86653 0
9.9633 8.06558 1
3.1636 2.32753 0
0.580653 1.20923 0
6.18135 5.2304 1
3.56498 2.93371 0
0.974258 1.64196 0
9.48498 7.61191 0
0.726738 2.19369 0
8.34689 7.13 0
8.72 3.51687 0
6.37906 5.53709 1
9.92562 7.80317 0
2.79191 3.50101 0
6.3771 2.56996 0
7.98506 2.97424 0
1.35155 7.10189 0
5.46117 5.45837 0
2.52103 3.02354 0
8.97494 6.95538 0
0.355636 1.10282 0
3.46956 3.53719 0
5.59234 5.06392 0
5.13788 4.68668 0
4.82621 3.65367 0
6.52226 5.80944 0
9.74278 7.48411 0
8.2393 7.22526 0
2.63756 3.86596 0
6.08473 3.42476 0
5.58506 4.62514 0
0.974334 1.11222 0
5.13462 4.07395 0
0.741733 1.03347 1
7.21501 5.80563 0
4.58647 4.64409 0
0.368151 5.31965 0
6.74476 5.30697 0
7.57 1.40816 0
9.84338 8.09553 1
7.63878 6.33087 1
1.89193 1.10725 0
8.91431 8.27168 0
5.28012 5.37018 0
2.98023 3.1924 0
1.33883 1.65147 1
2.9238 3.4115 0
3.83405 7.81721 0
4.65789 4.21492 1
3.64657 3.31978 1
1.16191 2.16898 0
0.0910245 0.799422 0
0.614217 2.43416 0
6.19004 5.2138 1
3.93369 4.2516 0
1.55481 1.9723 0
5.37949 5.52199 0
0.375919 0.5183 0
9.10682 6.99304 0
7.89939 6.73885 0
7.61878 0.536521 0
5.02545 4.0817 0
8.81223 7.17254 0
6.33672 7.5887 0
7.92208 8.15059 0
8.10847 7.2527 0
4.11702 4.2299 0
4.46878 7.23773 0
9.63285 5.68081 0
3.33276 3.17793 1
1.70714 2.60625 0
5.67324 4.91787 1
6.40296 6.25318 0
